"Event_ID","Location_ID","Unit_Code","Plot_Name","Plot_Number","X_Coord","Y_Coord","Panel","Year","Event_QAQC","cycle","plot.freq","avg.quad.r","avg.cover","quad.freq","qpct.freq","numPlotSpp"
"BD8A5625-A5C7-4834-BB48-CA10D8F580A0","4AB15C34-F346-4159-A87C-631E5390835F","APCO","APCO-004","004",696550,4140410,1,2007,0,1,0,0,0,0,0,0
"31D59F78-5AB1-4B40-97E5-814E08C8AFD3","4AB15C34-F346-4159-A87C-631E5390835F","APCO","APCO-004","004",696550,4140410,1,2011,0,2,0,0,0,0,0,0
"B31BE3BB-5950-4B28-88B1-4536B009B32D","4AB15C34-F346-4159-A87C-631E5390835F","APCO","APCO-004","004",696550,4140410,1,2015,0,3,0,0,0,0,0,0
"2F34F8E1-5D08-49A3-9129-D3C6B2942951","FA83D02B-5E7D-48C3-9D32-8FAC7F25C629","APCO","APCO-007","007",695101,4139562,1,2007,0,1,1,0.166666666666667,0.0166666666666667,2,0.166666666666667,1
"B77ECEF3-11AD-4F08-82BC-DC05B341ED6E","FA83D02B-5E7D-48C3-9D32-8FAC7F25C629","APCO","APCO-007","007",695101,4139562,1,2011,0,2,1,0.25,0.141666666666667,3,0.25,1
"F17A4A0C-62B1-42A4-9A32-257FC1FFA32D","FA83D02B-5E7D-48C3-9D32-8FAC7F25C629","APCO","APCO-007","007",695101,4139562,1,2015,0,3,1,0.166666666666667,0.0166666666666667,1,0.0833333333333333,2
"EC2B988D-7706-40EE-8FD2-B378E8E5CABF","AFE5B078-D6C5-423D-BA66-43950C2B566F","APCO","APCO-009","009",694833,4139797,1,2007,0,1,1,0.0833333333333333,0.125,1,0.0833333333333333,1
"10CB6CC0-714D-4740-B618-B3FFEEA57BFE","AFE5B078-D6C5-423D-BA66-43950C2B566F","APCO","APCO-009","009",694833,4139797,1,2011,0,2,1,0.166666666666667,0.0166666666666667,2,0.166666666666667,1
"1A4D4E95-2B11-4205-9DE4-46A4C7262B90","AFE5B078-D6C5-423D-BA66-43950C2B566F","APCO","APCO-009","009",694833,4139797,1,2015,0,3,0,0,0,0,0,0
"5BD66BDA-E57F-40BB-BEB3-107040A5459C","B8F77A1D-CE10-4FD5-8C43-0CCAC05D5A63","APCO","APCO-010","010",695665,4138594,1,2007,0,1,1,0.416666666666667,0.625,5,0.416666666666667,1
"6C632D07-4E63-4B50-B278-A15FE0A1D6FE","B8F77A1D-CE10-4FD5-8C43-0CCAC05D5A63","APCO","APCO-010","010",695665,4138594,1,2011,0,2,1,0.416666666666667,0.158333333333333,5,0.416666666666667,1
