"Event_ID","Location_ID","Unit_Code","Plot_Name","Plot_Number","X_Coord","Y_Coord","Panel","Year","Event_QAQC","cycle","plot.freq","avg.quad.r","avg.cover","quad.freq","qpct.freq","numPlotSpp"
"9EAF2A05-B06A-45C9-B7AE-3CA2A1C15F43","BC146F51-F581-47F5-8835-78FBA8ABAF18","ACAD","ACAD-001","001",574066,4913328,1,2010,0,2,0,0,0,0,0,0
"6F849CD9-ABF5-4782-9250-D545EE9E5886","BC146F51-F581-47F5-8835-78FBA8ABAF18","ACAD","ACAD-001","001",574066,4913328,1,2014,0,3,0,0,0,0,0,0
"69475544-BBE9-4EF8-BC0B-66539904CAE1","BC146F51-F581-47F5-8835-78FBA8ABAF18","ACAD","ACAD-001","001",574066,4913328,1,2018,0,4,0,0,0,0,0,0
"DEF05103-E554-4506-93E8-F8B4A4B8B679","12F309E3-166C-4B50-90FE-538314F670F8","ACAD","ACAD-002","002",575371,4911411,1,2010,0,2,0,0,0,0,0,0
"C6754E73-DF16-4163-B44D-179807924085","12F309E3-166C-4B50-90FE-538314F670F8","ACAD","ACAD-002","002",575371,4911411,1,2014,0,3,0,0,0,0,0,0
"DAF3C967-16B3-4583-9450-6FF69E22249B","12F309E3-166C-4B50-90FE-538314F670F8","ACAD","ACAD-002","002",575371,4911411,1,2018,0,4,0,0,0,0,0,0
"CE916E8C-ABEA-43F6-AFC5-57EE831A4834","4FF53C43-2E4F-4A71-B346-94D0079A7BAC","ACAD","ACAD-003","003",574969,4909331,1,2010,0,2,0,0,0,0,0,0
"31E027E2-11AF-49CC-955D-EF3D9FE79B84","4FF53C43-2E4F-4A71-B346-94D0079A7BAC","ACAD","ACAD-003","003",574969,4909331,1,2014,0,3,0,0,0,0,0,0
"FADD27E3-F118-40BA-9E08-DD7AE583FE32","4FF53C43-2E4F-4A71-B346-94D0079A7BAC","ACAD","ACAD-003","003",574969,4909331,1,2018,0,4,0,0,0,0,0,0
"6692CB1F-937E-4683-A05D-0069D619BB85","5A7FE544-C207-4E3B-9F6C-ADDC2F755A7A","ACAD","ACAD-004","004",556272,4914012,1,2010,0,2,0,0,0,0,0,0
"1CF60CA9-124C-4916-AB64-84C323D1A9BE","5A7FE544-C207-4E3B-9F6C-ADDC2F755A7A","ACAD","ACAD-004","004",556272,4914012,1,2014,0,3,0,0,0,0,0,0
